Sl.No,Company Name,Website,Twitter_url,Facebook_url,Linkedin_url,Crunchbase_url,City,Country,CEO,CTO,EMAIL
47,Bevi,bevi.co,twitter.com/getbevi,facebook.com/pages/Bevi/921798307850581,linkedin.com/company/bevi,crunchbase.com/organization/bevi#/entity,Concord,United States,Mathias Nilsson,Frank Lee,info@bevi.co
48,Own Up,ownup.com,twitter.com/WeAreOwnUp,facebook.com/weareownup/,linkedin.com/company/own-up,crunchbase.com/organization/rategravity#section-overview,Boston,United States,Patrick Boyaggi,Mike Tassone,hello@ownup.com
49,DataCamp,datacamp.com,twitter.com/DataCamp,facebook.com/pages/DataCamp/726282547396228,linkedin.com/school/datacampinc,crunchbase.com/organization/data-camp,New York City,United States,Jonathan Cornelissen,Frans van DunnÃ©,privacy@datacamp.com
50,DNSFilter,dnsfilter.com,twitter.com/dnsfilter,facebook.com/dnsfilter,linkedin.com/company/dnsfilter,crunchbase.com/organization/dnsfilter,Washington,United States,Kenneth Carnesi,Chase Snyder,hello@DNSFilter.com
51,SkySpecs,skyspecs.com,twitter.com/skyspecs,facebook.com/profile.php,linkedin.com/company/skyspecs,crunchbase.com/organization/skyspecs,Ann Arbor,United States,Danny,Tom Brady,info@skyspecs.com
52,Convey,getconvey.com,twitter.com/get_convey,facebook.com/pivotfreight,linkedin.com/company/convey-inc,crunchbase.com/organization/convey#/entity,Austin,United States,Stephen Farrell,Dorothy Li,lendweprasad@gmail.com
53,Tasso,tassoinc.com,twitter.com/tassoinc,facebook.com/teamtasso/,linkedin.com/company/tasso-inc-,crunchbase.com/organization/tasso,Seattle,United States,Dr. Ben Casavant,"Erwin Berthier, PhD",customerservice@tassoinc.com
54,Bench,bench.co,twitter.com/Bench,facebook.com/BenchAccounting,linkedin.com/company/benchaccounting,crunchbase.com/organization/bench-2,Vancouver,Canada,Ian Crosby,Jan Janick,help@bench.co
55,Placester,placester.com,twitter.com/placester,facebook.com/Placester,linkedin.com/company/placester-inc,crunchbase.com/organization/placester,Boston,United States,Hussain,Frederick Townes,support@placester.com
56,SmartHop,smarthop.com,twitter.com/smarthop,facebook.com/smarthopapp,linkedin.com/company/smarthop,crunchbase.com/organization/smarthop,Miami,United States,Guillermo Garcia,Miguel Sucre,hello@smarthop.co
57,TomoCredit,tomocredit.com,twitter.com/TomoCredit,facebook.com/TomoCredit-759847904399856/,linkedin.com/company/tomocredit,crunchbase.com/organization/tomocredit,San Francisco,United States,Kristy Kim,Dmitry Kashlev,help@tomocredit.com
58,Vita Inclinata,vitatech.co,twitter.com/vitainclinata,facebook.com/vitainclinata/,linkedin.com/company/vita-inclinata-technologies,crunchbase.com/organization/vita-inclinata-technologies,Denver,United States,Caleb Carr,Derek Sikora,info@vitatech.co
59,ClassWallet,classwallet.com,twitter.com/ClassWallet,facebook.com/classwallet,linkedin.com/company/classwallet,crunchbase.com/organization/classwallet,Miami,United States,Jamie Rosenberg,David Koplovitz,info@classwallet.com
60,Broadlume,broadlume.com,twitter.com/broadlume,facebook.com/Broadlume/,linkedin.com/company/broadlume,crunchbase.com/organization/broadlume,Sarasota,United States,Todd Saunders,Adrian Slade,Not Avaliable
61,Wise Systems,wisesystems.com,twitter.com/gowisesystems,facebook.com/WiseSystemsInc,linkedin.com/company/5348684,crunchbase.com/organization/wise-systems,Cambridge,United States,Chazz Sims,Ali Kamil,info@wisesystems.com
62,FullContact,fullcontact.com,twitter.com/FullContact,facebook.com/FullContactAPI,linkedin.com/company/fullcontact-inc-,crunchbase.com/organization/fullcontact,Denver,United States,Chris Harrison,Ken Michie,support@fullcontact.com
63,Cutover,cutover.com,twitter.com/gocutover,NaN,linkedin.com/company/cutover,crunchbase.com/organization/godesic,London,United Kingdom,Ky Nichol,Kieran Gutteridge,info@cutover.com
64,Bark,bark.us,twitter.com/barktechco,facebook.com/barktechnologies,linkedin.com/company/7582462,crunchbase.com/organization/bark-technologies,Richmond Hill,United States,Matt Meeker,Nari Sitaraman,help@bark.us
65,Stream,getstream.io,twitter.com/getstream_io,facebook.com/getstream.io,linkedin.com/company/getstream-io,crunchbase.com/organization/getstream-io,Boulder,United States,David Regnier,Tommaso Barbugli,ads@getstream.io
66,Logixboard,logixboard.com,twitter.com/logixboard,facebook.com/logixboard/,linkedin.com/company/28149566,crunchbase.com/organization/logixboard,Seattle,United States,Julian Alvarez,Eric Dillon,contact@logixboard.com
67,Vitally,vitally.io,twitter.com/vitally_io,facebook.com/Vitally.io,linkedin.com/company/vitally.io,crunchbase.com/organization/vitally,New York,United States,Jamie Davidson,Patrick Vatterott,hello@vitally.io
68,Ergatta,ergatta.com,twitter.com/ergatta,facebook.com/Ergatta/,linkedin.com/company/ergatta,crunchbase.com/organization/ergatta,Brooklyn,United States,Alessandra Gotbaum,Prasanna Swaminathan,info@ergatta.com
69,LevelTen Energy,leveltenenergy.com,twitter.com/LevelTenEnergy,facebook.com/LevelTen-Energy-350401385419488/,linkedin.com/company/levelten-energy,crunchbase.com/organization/levelten-energy,Seattle,United States,Bryce Smith,Eric Snyder,info@leveltenenergy.com
70,Wunder,wundercapital.com,twitter.com/wundercapital,facebook.com/WunderCapital,linkedin.com/company/wunder,crunchbase.com/organization/wunder,Boulder,United States,Dave Riess,David Reiss,support@wundercapital.com
71,Sphero,sphero.com,twitter.com/littleBits,facebook.com/GoSphero,linkedin.com/company/1199924,crunchbase.com/organization/orbotix,Boulder,United States,Paul Copioli,Jon Carroll,support@sphero.com
72,soona,soona.co,twitter.com/soonastudios,facebook.com/soonastudios/,linkedin.com/company/soona,crunchbase.com/organization/soona,Denver,United States,Liz Giorgi,Callum Bethune,hey@soona.com
73,Pixxel,pixxel.space,twitter.com/pixxelspace,facebook.com/pixxelspace/,linkedin.com/company/pixxelspace,crunchbase.com/organization/pixxel-81c6#section-overview,Palo Alto,United States,Awais Ahmed,Kshitij Khandelwal,contact@pixxel.co.in
74,Slingshot Aerospace,slingshotaerospace.com,twitter.com/sling_shot_aero,facebook.com/slingshotaero/,linkedin.com/company/slingshot-aerospace,crunchbase.com/organization/slingshot-aerospace#section-overview,El Segundo,United States,Melanie Stricklan,Melanie Stricklan,hello@slingshotaerospace.com
75,Deep 6 AI,deep6.ai,twitter.com/deep6ai,facebook.com/deep6ai,linkedin.com/company/deep-6-ai,crunchbase.com/organization/deep-6-ai,Pasadena,United States,Wout Brusselaers,Jason Colbert,info@deep6.ai
76,Airspace Link,airspacelink.com,twitter.com/AirspaceLink,facebook.com/Airspace-Link-738775396318337/,linkedin.com/company/airspacelink,crunchbase.com/organization/airspace-link,Northville,United States,Michael Healander,Daniel Bradshaw,hello@airspacelink.com
77,APPLICA.AI,applica.ai,twitter.com/applica_ai,facebook.com/applicaAI,linkedin.com/company/applica-sp-z-o-o-,crunchbase.com/organization/applica-ai,Warsaw,Poland,Piotr Surma,Adam Dancewicz,contact@applica.ai
78,Plated,plated.com,twitter.com/plated,facebook.com/theplated,linkedin.com/company/plated,crunchbase.com/organization/plated,New York,United States, Josh Hix,N/A,customerservice@plated.com
79,Cube,cubesoftware.com,twitter.com/CubeSoftwareHQ,NaN,linkedin.com/company/cube-software,crunchbase.com/organization/cubesoftware,New York,United States,Ben Richmond,Jeremy Noble,info@cubehotel.co.uk
80,Skilljar,skilljar.com,twitter.com/skilljar,facebook.com/skilljar,linkedin.com/company/skilljar,crunchbase.com/organization/skilljar,Seattle,United States,Sandi Lin,Jason Stewart,info@skilljar.com
81,Mast Reforestation,mastreforest.com,twitter.com/mastreforest,facebook.com/mast.reforest/,linkedin.com/company/mast-reforest,crunchbase.com/organization/mast-reforestation,Seattle,United States,Grant Canary,Benjamin Reilly,founders@droneseed.co
82,One Model,onemodel.co,twitter.com/OneModelHR,NaN,linkedin.com/company/onemodel,crunchbase.com/organization/onemodel,San Antonio,United States,Chris Butler,Matthew Wilton,sales@onemodel.co
83,Lane,joinlane.com,twitter.com/joinlane,NaN,linkedin.com/company/joinlane,crunchbase.com/organization/lane,Toronto,Canada,NICK ROMITO,Swaroopa Penikelapati,@my.lanecc.edu
84,Trust & Will,trustandwill.com,twitter.com/trustandwill,facebook.com/trustandwill,linkedin.com/company/trustandwill,crunchbase.com/organization/trustandwill,San Diego,United States,Cody Barbo,N/A,hello@trustandwill.com
85,Remesh,remesh.ai,twitter.com/teamremesh,facebook.com/teamremesh,linkedin.com/company/5245293,crunchbase.com/organization/remesh,New York,United States,Remesh,Dan Reich,hello@remesh.ai
86,Brandfolder,brandfolder.com,twitter.com/Brandfolder,facebook.com/Brandfolder,linkedin.com/company/brandfolder-inc-,crunchbase.com/organization/brandfolder,Denver,United States,Steven Baker,Ryan Urabe,hello@brandfolder.com
87,Funnel Leasing,funnelleasing.com,twitter.com/FunnelLeasing,facebook.com/funnelleasing/,linkedin.com/company/funnelleasing,crunchbase.com/organization/nestio,New York,United States,Tyler Christiansen,Mike O'Toole,info@funnelleasing.com
88,Occipital,occipital.com,twitter.com/occipital,facebook.com/Occipital,linkedin.com/company/occipital,crunchbase.com/organization/occipital,Boulder,United States, Kevin Stephens,Cervical Thoracic Orthosis,Contact@occipitaltech.com
89,QuSecure,qusecure.com,twitter.com/qusecure,facebook.com/QuSecure-113667670042387/,linkedin.com/company/qusecure,crunchbase.com/organization/qusecure,San Mateo,United States,Dave Krauthamer,Konstantin Vilk,info@qusecure.com
90,Realty Mogul,realtymogul.com,twitter.com/Realty_Mogul,facebook.com/RealtyMogul,linkedin.com/company/realty-mogul,crunchbase.com/organization/realty-mogul,Los Angeles,United States,Jilliene Helman,Doug Hebenthal,marketing@realtymogul.com
91,Morty,morty.com,twitter.com/himorty,facebook.com/HiMorty/,linkedin.com/company/morty-inc,crunchbase.com/organization/morty,New York,United States,Nora Apsel,Adam Rothblatt,hello@morty.com
92,Amino,aminoapps.com,twitter.com/aminoapps,facebook.com/AminoApps,linkedin.com/pub/benjamin-anderson,crunchbase.com/organization/narvii,New York City,United States,John Asalone,Mark Evensen,support@amino.com
93,Metro Africa Xpress,max.ng,twitter.com/maxdotng,facebook.com/pages/Metro-Africa-Xpress-MAX/837791536289252,linkedin.com/company/maxdriveai,crunchbase.com/organization/max-2,Lagos,Nigeria,Adetayo Bamiduro,N/A,marketing@maxdrive.ai
94,Help Scout,helpscout.com,twitter.com/helpscout,facebook.com/helpscout,linkedin.com/company/1447019,crunchbase.com/organization/help-scout,Cambridge,United States,Nick Francis,Denny Swindle,help@helpscout.com
95,Kencko Foods,kencko.com,twitter.com/kenckofoods,facebook.com/kenckocom/,linkedin.com/company/kenckofoods,crunchbase.com/organization/kencko,Brooklyn,United States,Tomas B. Froes,N/A,hello@kencko.com
96,Cuvva,cuvva.com,twitter.com/cuvva,facebook.com/getcuvvad/,linkedin.com/company/cuvva,crunchbase.com/organization/cuvva#/entity,London,United Kingdom,Freddy Macnamara,Ilya Ageev,hello@cuvva.com
97,Hydro Wind Energy,hw.energy,twitter.com/hydrowindenergy,facebook.com/HydroWindEnergy/,linkedin.com/company/hydro-wind-energy,crunchbase.com/organization/hydro-wind-energy,London,United Kingdom,Lee King,Hayk Vasilyan,info@quenchsea.world
98,telnyx,telnyx.com,twitter.com/telnyx,facebook.com/Telnyx/,linkedin.com/company/telnyx,crunchbase.com/organization/telnyx,Chicago,United States,David Casem,Tom Phelan,"
info@telnyx.com"
99,AppliedVR,appliedvr.io,twitter.com/AppliedVR,facebook.com/appliedvr,linkedin.com/company/appliedvr,crunchbase.com/organization/appliedvr,Los Angeles,United States,Matthew Stoudt,N/A,info@appliedvr.io
100,Rasa,rasa.com,twitter.com/Rasa_HQ,facebook.com/RasaHQ/,linkedin.com/company/rasa.,crunchbase.com/organization/rasa,San Francisco,United States,Melissa Gordon,Alan Nichol,support@rasa.io
101,Arrived,arrived.com,twitter.com/ArrivedHomes,facebook.com/arrivedhomes,linkedin.com/company/arrivedhomes,crunchbase.com/organization/arrived-homes,Seattle,United States,Ryan Frazier,Alec Wilkins,Not Avaliable
102,Ravelin Technology Ltd,ravelin.com,twitter.com/ravelinhq,facebook.com/Ravelinhq/,linkedin.com/company/ravelin-technology,crunchbase.com/organization/ravelin#/entity,London,United Kingdom,Martin Sweeney,Leonard Austin,info@aidirectory.org
103,AppSheet,appsheet.com,twitter.com/appsheet,facebook.com/appsheet,linkedin.com/company/4794728,crunchbase.com/organization/appsheet,Bellevue,United States,Praveen Seshadri,N/A,support@appsheet.com
104,Freight Farms,freightfarms.com,twitter.com/FreightFarms,facebook.com/freightfarms,linkedin.com/company/freight-farms,crunchbase.com/organization/freight-farms,Boston,United States,Rick Vanzura,Brad McNamara,info@freightfarms.com
105,Maxwell Financial,himaxwell.com,twitter.com/ilovemaxwell,facebook.com/maxwellHQ,linkedin.com/company/6605907,crunchbase.com/organization/maxwell-financial-labs-inc,Denver,United States,John Paasonen,Rutul Davé,support@maxwellfi.com
106,Denim,denim.com,twitter.com/JoinDenim,facebook.com/joindenim,linkedin.com/company/join-denim,crunchbase.com/organization/axle,New York,United States,Bharath Krishnamoorthy,Jack Payne,hello@joindenim.com
107,Kard,getkard.com,twitter.com/getkard,facebook.com/getkard/,linkedin.com/company/kard-app,crunchbase.com/organization/kard,New York,United States,Ben Mackinnon,Nathan Rutter,support@kard.com
108,Cloudability,cloudability.com,twitter.com/apptio,facebook.com/Apptio,linkedin.com/company/cloudability,crunchbase.com/organization/cloudability,Portland,United States,Mat Ellis,Raghu Hiremagalur,support@cloudability.com
109,Simple Energy,simpleenergy.com,twitter.com/simpleenergy,facebook.com/SimpleEnergy,linkedin.com/company/bleedingbulbfoundation,crunchbase.com/organization/simple-energy,Boulder,United States,Suhas Rajkumar,N/A,info@simpleenergy.com
110,Ovia Health,oviahealth.com,twitter.com/OviaHealth,facebook.com/ovuline,linkedin.com/company/ovia-health,crunchbase.com/organization/ovuline,Boston,United States,Paris Wallace,Alex Baron,support@oviahealth.com
111,CrowdTwist,crowdtwist.com,twitter.com/OracleCX,facebook.com/crowdtwist,linkedin.com/company/crowdtwist-inc-,crunchbase.com/organization/crowdtwist,New York,United States,Scott Matthews,charles Ellison,info@crowdtwist.com
112,Immersed,immersed.com,twitter.com/immersedvr,facebook.com/ImmersedVR/,linkedin.com/company/immersed,crunchbase.com/organization/immersedteam,Cincinnati,United States,Renji Bijoy,Renji Bijoy,hello@immersed.com
113,Healthie,gethealthie.com,twitter.com/gethealthie,facebook.com/GetHealthie/,linkedin.com/company/get-healthie,crunchbase.com/organization/healthie,New York City,United States,Erica Jain,Jaanus Ranniit,support@gethealthie.com
114,Testlio,testlio.com,twitter.com/testlio,facebook.com/testlio,linkedin.com/company/testlio,crunchbase.com/organization/testlio,San Francisco,United States,Steve Semelsberger,Andrew Crowel,info@testlio.com
115,TRED,tred.com,twitter.com/tred,facebook.com/tredsite,linkedin.com/company/tred,crunchbase.com/organization/tred,Seattle,United States,Grant Feek,"Gayle Abrahams,",support@tred.com
116,PadSplit,padsplit.com,twitter.com/padsplit,facebook.com/PadSplit/,linkedin.com/company/padsplit,crunchbase.com/organization/padsplit,Atlanta,United States,Atticus LeBlanc,Matthew Keemon,support@padsplit.com
117,Jebbit,jebbit.com,twitter.com/jebbit,facebook.com/jebbitinc,linkedin.com/company/2568979,crunchbase.com/organization/jebbit,Boston,United States,Tom Coburn,Josh,info@jebbit.com
118,SparkCharge,sparkcharge.io,twitter.com/sparkcharge,facebook.com/SparkChargeCorp,linkedin.com/company/sparkcharge,crunchbase.com/organization/sparkcharge,Buffalo,United States,Josh Aviv,Ritesh Baldva,info@sparkcharge.io
119,Revelio Labs,reveliolabs.com,twitter.com/RevelioLabs,NaN,linkedin.com/company/revelio-labs,crunchbase.com/organization/revelio-labs,New York,United States,Ben Zweig,", Ahmad Taie,",info@reveliolabs.com
120,Lengoo,lengoo.com,twitter.com/LengooTweets,facebook.com/lengootranslations,linkedin.com/company/lengoo,crunchbase.com/organization/lengoo-gmbh,Berlin,Germany,Christopher Kränzler,Jag Lamba.,service@lengoo.de
121,Certa,getcerta.com,twitter.com/getcerta,facebook.com/certanetwork,linkedin.com/company/certa-in,crunchbase.com/organization/the-vetted-net#section-overview,Saratoga,United States,Jagmeet Lamba,Daniel Faber,cs@certafuel.ie
122,Orbit Fab,orbitfab.com,twitter.com/orbitfab,facebook.com/OrbitFab/,linkedin.com/company/orbitfab,crunchbase.com/organization/orbit-fab,Santa Clara,United States,Daniel Faber,Cédric Pinson,info@orbitfab.com
123,Sketchfab,sketchfab.com,twitter.com/Sketchfab,facebook.com/SketchFab,linkedin.com/company/sketchfab,crunchbase.com/organization/sketchfab,New York,United States,Alban Denoyel,Indrek Narusk,support@sketchfab.com
124,GrabCAD,grabcad.com,twitter.com/GrabCAD,facebook.com/GrabCAD,linkedin.com/company/grabcad,crunchbase.com/organization/grabcad,Cambridge,United States,Jon McNeill,Dutch Waanders,info@grabcad.com
125,PathSpot,pathspot.com,twitter.com/PathSpot,facebook.com/PathSpot/,linkedin.com/company/pathspot,crunchbase.com/organization/pathspot,New York,United States,John Puterbaugh,Edward Taylor,info@pathspottech.com
126,Impala,impala.travel,twitter.com/getimpala,facebook.com/IMPALAindie/,linkedin.com/company/impala-hospitality-software,crunchbase.com/organization/impala-8f76#section-overview,London,United Kingdom,John Sculley,Jose Segrera,hello@getimpala.com
127,Mavrck,mavrck.co,twitter.com/mavrckco,facebook.com/mavrckco,linkedin.com/company/mavrck,crunchbase.com/organization/mavrck,Boston,United States,Brittany Laughlin,N/A,info@mavrck.co
128,Blink,joinblink.com,twitter.com/joinblink,facebook.com/blinkdotla,linkedin.com/company/blink-d-o-o-,crunchbase.com/organization/kimono-3,London,United Kingdom,Stephen McLaughlin,N/A,hello@joinblink.com
129,Sporttrade,getsporttrade.com,twitter.com/sporttrade_app,facebook.com/Sporttradeapp/,linkedin.com/company/sporttrade,crunchbase.com/organization/sporttrade,Unionville,United States,Johnny Draper,N/A,info@sporttrade.com
