Sl.No,Company Name,Website,Twitter_url,Linkedin_url,Crunchbase_url,City,EMAIL
34,LogicGate,logicgate.com,twitter.com/LogicGate,linkedin.com/company/logic-gate,crunchbase.com/organization/logicgate,Chicago,support@logicgate.com
35,Damon Motorcycles,damon.com,twitter.com/damonmotorcycle,linkedin.com/company/damonxlabs,crunchbase.com/organization/damon-x-labs,Vancouver,info@damon.com
36,Community,community.com,twitter.com/community,linkedin.com/company/communitydotcom,crunchbase.com/organization/shimmur,Los Angeles,Not Avaliable
37,Narmi,narmi.com,twitter.com/Narmi_Tech,linkedin.com/company/narmi,crunchbase.com/organization/narmi,New York,contact@narmi.com
38,Branch,branchapp.com,twitter.com/branchmessenger,linkedin.com/company/branch-app,crunchbase.com/organization/branch-messenger,Minneapolis,press@branch.io
39,BentoBox,getbento.com,twitter.com/get_bento,linkedin.com/company/bentobox,crunchbase.com/organization/bentobox,New York,support@getbento.com
40,MANTL,mantl.com,twitter.com/mantl_tech,linkedin.com/company/mantl,crunchbase.com/organization/mantl,New York,hello@mantl.com
41,Lifebit Biotech,lifebit.ai,twitter.com/lifebitAI,linkedin.com/company/lifebit-ai,crunchbase.com/organization/lifebit-biotech,London,evangelos@lifebit.ai
42,Comet,comet.com,twitter.com/Cometml,linkedin.com/company/comet-ml,crunchbase.com/organization/comet-ml,New York,support@comet.ml
43,Solid,solidfi.com,NaN,linkedin.com/company/solidfi,crunchbase.com/organization/solidfi#section-overview,Palo Alto,contact@solid1972.com
44,Project Canary,projectcanary.com,twitter.com/ProjectCanary1,linkedin.com/company/projectcanary,crunchbase.com/organization/project-canary,Denver,info@projectcanary.com
45,Tive,tive.com,twitter.com/tiveinc,linkedin.com/company/tiveinc,crunchbase.com/organization/tive,Boston,sales@tive.com
46,Solstice,solstice.us,twitter.com/solarforgood,linkedin.com/company/solarforgood,crunchbase.com/organization/solstice-2,Boston,info@solstice.us
47,Bevi,bevi.co,twitter.com/getbevi,linkedin.com/company/bevi,crunchbase.com/organization/bevi#/entity,Concord,info@bevi.co
48,Own Up,ownup.com,twitter.com/WeAreOwnUp,linkedin.com/company/own-up,crunchbase.com/organization/rategravity#section-overview,Boston,hello@ownup.com
49,DataCamp,datacamp.com,twitter.com/DataCamp,linkedin.com/school/datacampinc,crunchbase.com/organization/data-camp,New York City,privacy@datacamp.com
50,DNSFilter,dnsfilter.com,twitter.com/dnsfilter,linkedin.com/company/dnsfilter,crunchbase.com/organization/dnsfilter,Washington,hello@DNSFilter.com
51,SkySpecs,skyspecs.com,twitter.com/skyspecs,linkedin.com/company/skyspecs,crunchbase.com/organization/skyspecs,Ann Arbor,info@skyspecs.com
52,Convey,getconvey.com,twitter.com/get_convey,linkedin.com/company/convey-inc,crunchbase.com/organization/convey#/entity,Austin,lendweprasad@gmail.com
53,Tasso,tassoinc.com,twitter.com/tassoinc,linkedin.com/company/tasso-inc-,crunchbase.com/organization/tasso,Seattle,customerservice@tassoinc.com
54,Bench,bench.co,twitter.com/Bench,linkedin.com/company/benchaccounting,crunchbase.com/organization/bench-2,Vancouver,help@bench.co
55,Placester,placester.com,twitter.com/placester,linkedin.com/company/placester-inc,crunchbase.com/organization/placester,Boston,support@placester.com
56,SmartHop,smarthop.com,twitter.com/smarthop,linkedin.com/company/smarthop,crunchbase.com/organization/smarthop,Miami,hello@smarthop.co
57,TomoCredit,tomocredit.com,twitter.com/TomoCredit,linkedin.com/company/tomocredit,crunchbase.com/organization/tomocredit,San Francisco,help@tomocredit.com
58,Vita Inclinata,vitatech.co,twitter.com/vitainclinata,linkedin.com/company/vita-inclinata-technologies,crunchbase.com/organization/vita-inclinata-technologies,Denver,info@vitatech.co
59,ClassWallet,classwallet.com,twitter.com/ClassWallet,linkedin.com/company/classwallet,crunchbase.com/organization/classwallet,Miami,info@classwallet.com
60,Broadlume,broadlume.com,twitter.com/broadlume,linkedin.com/company/broadlume,crunchbase.com/organization/broadlume,Sarasota,Not Avaliable
61,Wise Systems,wisesystems.com,twitter.com/gowisesystems,linkedin.com/company/5348684,crunchbase.com/organization/wise-systems,Cambridge,info@wisesystems.com
62,FullContact,fullcontact.com,twitter.com/FullContact,linkedin.com/company/fullcontact-inc-,crunchbase.com/organization/fullcontact,Denver,support@fullcontact.com
63,Cutover,cutover.com,twitter.com/gocutover,linkedin.com/company/cutover,crunchbase.com/organization/godesic,London,info@cutover.com
64,Bark,bark.us,twitter.com/barktechco,linkedin.com/company/7582462,crunchbase.com/organization/bark-technologies,Richmond Hill,help@bark.us
65,Stream,getstream.io,twitter.com/getstream_io,linkedin.com/company/getstream-io,crunchbase.com/organization/getstream-io,Boulder,ads@getstream.io
66,Logixboard,logixboard.com,twitter.com/logixboard,linkedin.com/company/28149566,crunchbase.com/organization/logixboard,Seattle,contact@logixboard.com
67,Vitally,vitally.io,twitter.com/vitally_io,linkedin.com/company/vitally.io,crunchbase.com/organization/vitally,New York,hello@vitally.io
68,Ergatta,ergatta.com,twitter.com/ergatta,linkedin.com/company/ergatta,crunchbase.com/organization/ergatta,Brooklyn,info@ergatta.com
69,LevelTen Energy,leveltenenergy.com,twitter.com/LevelTenEnergy,linkedin.com/company/levelten-energy,crunchbase.com/organization/levelten-energy,Seattle,info@leveltenenergy.com
70,Wunder,wundercapital.com,twitter.com/wundercapital,linkedin.com/company/wunder,crunchbase.com/organization/wunder,Boulder,support@wundercapital.com
71,Sphero,sphero.com,twitter.com/littleBits,linkedin.com/company/1199924,crunchbase.com/organization/orbotix,Boulder,support@sphero.com
72,soona,soona.co,twitter.com/soonastudios,linkedin.com/company/soona,crunchbase.com/organization/soona,Denver,hey@soona.com
73,Pixxel,pixxel.space,twitter.com/pixxelspace,linkedin.com/company/pixxelspace,crunchbase.com/organization/pixxel-81c6#section-overview,Palo Alto,contact@pixxel.co.in
74,Slingshot Aerospace,slingshotaerospace.com,twitter.com/sling_shot_aero,linkedin.com/company/slingshot-aerospace,crunchbase.com/organization/slingshot-aerospace#section-overview,El Segundo,hello@slingshotaerospace.com
75,Deep 6 AI,deep6.ai,twitter.com/deep6ai,linkedin.com/company/deep-6-ai,crunchbase.com/organization/deep-6-ai,Pasadena,info@deep6.ai
76,Airspace Link,airspacelink.com,twitter.com/AirspaceLink,linkedin.com/company/airspacelink,crunchbase.com/organization/airspace-link,Northville,hello@airspacelink.com
77,APPLICA.AI,applica.ai,twitter.com/applica_ai,linkedin.com/company/applica-sp-z-o-o-,crunchbase.com/organization/applica-ai,Warsaw,contact@applica.ai
78,Plated,plated.com,twitter.com/plated,linkedin.com/company/plated,crunchbase.com/organization/plated,New York,customerservice@plated.com
79,Cube,cubesoftware.com,twitter.com/CubeSoftwareHQ,linkedin.com/company/cube-software,crunchbase.com/organization/cubesoftware,New York,info@cubehotel.co.uk
80,Skilljar,skilljar.com,twitter.com/skilljar,linkedin.com/company/skilljar,crunchbase.com/organization/skilljar,Seattle,info@skilljar.com
81,Mast Reforestation,mastreforest.com,twitter.com/mastreforest,linkedin.com/company/mast-reforest,crunchbase.com/organization/mast-reforestation,Seattle,founders@droneseed.co
82,One Model,onemodel.co,twitter.com/OneModelHR,linkedin.com/company/onemodel,crunchbase.com/organization/onemodel,San Antonio,sales@onemodel.co
83,Lane,joinlane.com,twitter.com/joinlane,linkedin.com/company/joinlane,crunchbase.com/organization/lane,Toronto,@my.lanecc.edu
84,Trust & Will,trustandwill.com,twitter.com/trustandwill,linkedin.com/company/trustandwill,crunchbase.com/organization/trustandwill,San Diego,hello@trustandwill.com
85,Remesh,remesh.ai,twitter.com/teamremesh,linkedin.com/company/5245293,crunchbase.com/organization/remesh,New York,hello@remesh.ai
86,Brandfolder,brandfolder.com,twitter.com/Brandfolder,linkedin.com/company/brandfolder-inc-,crunchbase.com/organization/brandfolder,Denver,hello@brandfolder.com
87,Funnel Leasing,funnelleasing.com,twitter.com/FunnelLeasing,linkedin.com/company/funnelleasing,crunchbase.com/organization/nestio,New York,info@funnelleasing.com
88,Occipital,occipital.com,twitter.com/occipital,linkedin.com/company/occipital,crunchbase.com/organization/occipital,Boulder,Contact@occipitaltech.com
89,QuSecure,qusecure.com,twitter.com/qusecure,linkedin.com/company/qusecure,crunchbase.com/organization/qusecure,San Mateo,info@qusecure.com
90,Realty Mogul,realtymogul.com,twitter.com/Realty_Mogul,linkedin.com/company/realty-mogul,crunchbase.com/organization/realty-mogul,Los Angeles,marketing@realtymogul.com
91,Morty,morty.com,twitter.com/himorty,linkedin.com/company/morty-inc,crunchbase.com/organization/morty,New York,hello@morty.com
92,Amino,aminoapps.com,twitter.com/aminoapps,linkedin.com/pub/benjamin-anderson,crunchbase.com/organization/narvii,New York City,support@amino.com
93,Metro Africa Xpress,max.ng,twitter.com/maxdotng,linkedin.com/company/maxdriveai,crunchbase.com/organization/max-2,Lagos,marketing@maxdrive.ai
94,Help Scout,helpscout.com,twitter.com/helpscout,linkedin.com/company/1447019,crunchbase.com/organization/help-scout,Cambridge,help@helpscout.com
95,Kencko Foods,kencko.com,twitter.com/kenckofoods,linkedin.com/company/kenckofoods,crunchbase.com/organization/kencko,Brooklyn,hello@kencko.com
96,Cuvva,cuvva.com,twitter.com/cuvva,linkedin.com/company/cuvva,crunchbase.com/organization/cuvva#/entity,London,hello@cuvva.com
97,Hydro Wind Energy,hw.energy,twitter.com/hydrowindenergy,linkedin.com/company/hydro-wind-energy,crunchbase.com/organization/hydro-wind-energy,London,info@quenchsea.world
98,telnyx,telnyx.com,twitter.com/telnyx,linkedin.com/company/telnyx,crunchbase.com/organization/telnyx,Chicago,"
info@telnyx.com"
99,AppliedVR,appliedvr.io,twitter.com/AppliedVR,linkedin.com/company/appliedvr,crunchbase.com/organization/appliedvr,Los Angeles,info@appliedvr.io
100,Rasa,rasa.com,twitter.com/Rasa_HQ,linkedin.com/company/rasa.,crunchbase.com/organization/rasa,San Francisco,support@rasa.io
101,Arrived,arrived.com,twitter.com/ArrivedHomes,linkedin.com/company/arrivedhomes,crunchbase.com/organization/arrived-homes,Seattle,Not Avaliable
102,Ravelin Technology Ltd,ravelin.com,twitter.com/ravelinhq,linkedin.com/company/ravelin-technology,crunchbase.com/organization/ravelin#/entity,London,info@aidirectory.org
103,AppSheet,appsheet.com,twitter.com/appsheet,linkedin.com/company/4794728,crunchbase.com/organization/appsheet,Bellevue,support@appsheet.com
104,Freight Farms,freightfarms.com,twitter.com/FreightFarms,linkedin.com/company/freight-farms,crunchbase.com/organization/freight-farms,Boston,info@freightfarms.com
105,Maxwell Financial,himaxwell.com,twitter.com/ilovemaxwell,linkedin.com/company/6605907,crunchbase.com/organization/maxwell-financial-labs-inc,Denver,support@maxwellfi.com
106,Denim,denim.com,twitter.com/JoinDenim,linkedin.com/company/join-denim,crunchbase.com/organization/axle,New York,hello@joindenim.com
107,Kard,getkard.com,twitter.com/getkard,linkedin.com/company/kard-app,crunchbase.com/organization/kard,New York,support@kard.com
108,Cloudability,cloudability.com,twitter.com/apptio,linkedin.com/company/cloudability,crunchbase.com/organization/cloudability,Portland,support@cloudability.com
109,Simple Energy,simpleenergy.com,twitter.com/simpleenergy,linkedin.com/company/bleedingbulbfoundation,crunchbase.com/organization/simple-energy,Boulder,info@simpleenergy.com
110,Ovia Health,oviahealth.com,twitter.com/OviaHealth,linkedin.com/company/ovia-health,crunchbase.com/organization/ovuline,Boston,support@oviahealth.com
111,CrowdTwist,crowdtwist.com,twitter.com/OracleCX,linkedin.com/company/crowdtwist-inc-,crunchbase.com/organization/crowdtwist,New York,info@crowdtwist.com
112,Immersed,immersed.com,twitter.com/immersedvr,linkedin.com/company/immersed,crunchbase.com/organization/immersedteam,Cincinnati,hello@immersed.com
113,Healthie,gethealthie.com,twitter.com/gethealthie,linkedin.com/company/get-healthie,crunchbase.com/organization/healthie,New York City,support@gethealthie.com
114,Testlio,testlio.com,twitter.com/testlio,linkedin.com/company/testlio,crunchbase.com/organization/testlio,San Francisco,info@testlio.com
115,TRED,tred.com,twitter.com/tred,linkedin.com/company/tred,crunchbase.com/organization/tred,Seattle,support@tred.com
116,PadSplit,padsplit.com,twitter.com/padsplit,linkedin.com/company/padsplit,crunchbase.com/organization/padsplit,Atlanta,support@padsplit.com
117,Jebbit,jebbit.com,twitter.com/jebbit,linkedin.com/company/2568979,crunchbase.com/organization/jebbit,Boston,info@jebbit.com
118,SparkCharge,sparkcharge.io,twitter.com/sparkcharge,linkedin.com/company/sparkcharge,crunchbase.com/organization/sparkcharge,Buffalo,info@sparkcharge.io
119,Revelio Labs,reveliolabs.com,twitter.com/RevelioLabs,linkedin.com/company/revelio-labs,crunchbase.com/organization/revelio-labs,New York,info@reveliolabs.com
120,Lengoo,lengoo.com,twitter.com/LengooTweets,linkedin.com/company/lengoo,crunchbase.com/organization/lengoo-gmbh,Berlin,service@lengoo.de
121,Certa,getcerta.com,twitter.com/getcerta,linkedin.com/company/certa-in,crunchbase.com/organization/the-vetted-net#section-overview,Saratoga,cs@certafuel.ie
122,Orbit Fab,orbitfab.com,twitter.com/orbitfab,linkedin.com/company/orbitfab,crunchbase.com/organization/orbit-fab,Santa Clara,info@orbitfab.com
123,Sketchfab,sketchfab.com,twitter.com/Sketchfab,linkedin.com/company/sketchfab,crunchbase.com/organization/sketchfab,New York,support@sketchfab.com
124,GrabCAD,grabcad.com,twitter.com/GrabCAD,linkedin.com/company/grabcad,crunchbase.com/organization/grabcad,Cambridge,info@grabcad.com
125,PathSpot,pathspot.com,twitter.com/PathSpot,linkedin.com/company/pathspot,crunchbase.com/organization/pathspot,New York,info@pathspottech.com
126,Impala,impala.travel,twitter.com/getimpala,linkedin.com/company/impala-hospitality-software,crunchbase.com/organization/impala-8f76#section-overview,London,hello@getimpala.com
127,Mavrck,mavrck.co,twitter.com/mavrckco,linkedin.com/company/mavrck,crunchbase.com/organization/mavrck,Boston,info@mavrck.co
128,Blink,joinblink.com,twitter.com/joinblink,linkedin.com/company/blink-d-o-o-,crunchbase.com/organization/kimono-3,London,hello@joinblink.com
129,Sporttrade,getsporttrade.com,twitter.com/sporttrade_app,linkedin.com/company/sporttrade,crunchbase.com/organization/sporttrade,Unionville,info@sporttrade.com
130,Ultimate.ai,ultimate.ai,twitter.com/ultiai,linkedin.com/company/ultimatemoney,crunchbase.com/organization/ultimate-ai,Helsinki,hello@ultimate.ai
131,The Helper Bees,thehelperbees.com,twitter.com/thehelperbees,linkedin.com/company/the-helper-bees,crunchbase.com/organization/the-helper-bees,Austin,info@thehelperbees.com
132,NutriSense,nutrisense.io,twitter.com/nutrisenseio,linkedin.com/company/nutrisenseio,crunchbase.com/organization/nutrisense,Chicago,support@nutrisense.io
133,Pilot,pilotfiber.com,twitter.com/pilotfiber,linkedin.com/company/pilot,crunchbase.com/organization/pilot-2,New York,hello@pilot.com
134,Nautilus Labs,nautiluslabs.com,twitter.com/NautilusLabs1,linkedin.com/company/nautilus-labs-inc,crunchbase.com/organization/nautilus-labs-2,New York City,info@nautiluslabs.com
135,LearnPlatform,learnplatform.com,twitter.com/LearnPlatformUS,linkedin.com/company/lea-r-n,crunchbase.com/organization/learntrials,Raleigh,info@learnplatform.com
136,Skiptown,skiptown.io,twitter.com/skiptownclt,linkedin.com/company/skipper-pets,crunchbase.com/organization/skipper-b523,Charlotte,hello@skiptown.io
137,Fig,figloans.com,twitter.com/figloans,linkedin.com/company/fig-tech,crunchbase.com/organization/fig-loans,Sugar Land,hello@fig.com
138,Forward Platform,forwardplatform.com,twitter.com/LiveStoriesCom,linkedin.com/company/livestories,crunchbase.com/organization/livestories,Seattle,hello@forwardplatform.com
139,Kintsugi,kintsugihealth.com,twitter.com/Kintsugihealth,linkedin.com/company/kintsugihealth,crunchbase.com/organization/kintsugi,Berkeley,hello@kintsugihc.com
140,Smallhold,smallhold.com,twitter.com/smallhold,linkedin.com/company/smallhold,crunchbase.com/organization/smallhold#section-overview,Brooklyn,info@smallhold.com
141,Shieldpay,shieldpay.com,twitter.com/shieldpay,linkedin.com/company/shieldpay,crunchbase.com/organization/shieldpay,London,hello@shieldpay.com
142,Everledger,everledger.io,twitter.com/everledgerio,linkedin.com/company/everledger,crunchbase.com/organization/blocktrace,London,info@everledger.io
143,Splash,splashhq.com,twitter.com/popgunlabs,linkedin.com/company/splashmusic,crunchbase.com/organization/popgun,Brisbane,hello@splash.com
144,Morpheus Space,morpheus-space.com,twitter.com/MorpheusSpace,linkedin.com/company/morpheus-space,crunchbase.com/organization/morpheus-space,Los Angeles,info@morpheus-space.com
145,Distil Networks,distilnetworks.com,twitter.com/Imperva,linkedin.com/company/distil,crunchbase.com/organization/distil,Arlington,info@distilnetworks.com
146,Atomos Space,atomosspace.com,twitter.com/AtomosSpace,linkedin.com/company/atomosspace,crunchbase.com/organization/atomos-nuclear-and-space#section-overview,Denver,info@atomosspace.com
147,Stockly,stockly.ai,twitter.com/stockly_ai,linkedin.com/company/stockly,crunchbase.com/organization/stockly,Vitry-sur-Seine,admin@stockly.ai
148,Ara,arascreens.com,twitter.com/AraScreens,linkedin.com/company/ara-labs-inc,crunchbase.com/organization/ara-labs-3619,New York,support@arascreens.com
149,Kover,koverco.com,twitter.com/justaddseel,linkedin.com/company/kover-ai,crunchbase.com/organization/kover-4987,Sunnyvale,hello@kover.ai
150,Player's Health,playershealth.com,twitter.com/PlayersHealth,linkedin.com/company/team-interval-powered-by-ao1-solutions-inc-,crunchbase.com/organization/player-s-health,Minneapolis,support@playershealth.com
151,Swag.com,swag.com,twitter.com/promotewithswag,linkedin.com/company/11025034,crunchbase.com/organization/swag-com#section-overview,New York,support@swag.com
152,Milk Moovement,milkmoovement.com,twitter.com/MilkMoovement,linkedin.com/company/milk-moovement,crunchbase.com/organization/milk-moovement,Halifax,info@milkmoovement.com
153,Fly By Jing,flybyjing.com,twitter.com/flybyjing,linkedin.com/company/flybyjing,crunchbase.com/organization/fly-by-jing,Los Angeles,hello@flybyjing.com
154,Lumeon,lumeon.com,twitter.com/lumeon_,linkedin.com/company/lumeon-ltd,crunchbase.com/organization/lumeon,Boston,info@lumeon.com
155,Hackajob,hackajob.co,twitter.com/hackajob_co,linkedin.com/company/hackajob,crunchbase.com/organization/hackajob,London,hello@hackajob.com
156,Cogni,getcogni.com,twitter.com/getcogni,linkedin.com/company/cognibanking,crunchbase.com/organization/cogni,New York,hello@cogni.com
157,MadKudu,madkudu.com,twitter.com/madkudu,linkedin.com/company/madkudu,crunchbase.com/organization/madkudu,Mountain View,hello@madkudu.com
158,Endel,endel.io,twitter.com/EndelSound,linkedin.com/company/endelsound,crunchbase.com/organization/endel,Berlin,hello@endel.io
159,Cledara,cledara.com,twitter.com/CledaraHQ,linkedin.com/company/cledara,crunchbase.com/organization/cledara,London,hello@cledara.com
160,RangeForce,vequrity.com,twitter.com/RangeForce,linkedin.com/company/rangeforce,crunchbase.com/organization/vequrity,White Plains,info@rangeforce.com
161,2ULaundry,2ulaundry.com,twitter.com/2ulaundry,linkedin.com/company/6628641,crunchbase.com/organization/2u-laundry,Charlotte,hello@2ulaundry.com
162,Joonko,joonko.co,twitter.com/joonkoHQ,linkedin.com/company/joonkorecruitmentsoftware,crunchbase.com/organization/joonko#/entity,Birmingham,hello@joonko.co
163,Green Eye Technology,greeneye.ag,twitter.com/GreeneyeAg,linkedin.com/company/greeneye-technology,crunchbase.com/organization/green-eye-technology,Tel Aviv,info@greeneyetechnology.com
164,Twelve Labs,twelvelabs.io,twitter.com/twelve_labs,linkedin.com/company/twelvelabs,crunchbase.com/organization/twelve-labs-62b5,San Francisco,hello@twelvelabs.io
165,LISNR,lisnr.com,twitter.com/lisnr,linkedin.com/company/2787363,crunchbase.com/organization/lisnr-llc,Cincinnati,info@lisnr.com
166,SkyWatch,skywatch.co,twitter.com/SkyWatchApps,linkedin.com/company/skywatchai,crunchbase.com/organization/skywatch-2,Waterloo,hello@skywatch.ai
167,OpenLoop,openloophealth.com,twitter.com/openloophealth,linkedin.com/company/openloophealth,crunchbase.com/organization/openloop,Iowa City,hello@openloophealth.com
168,Polywork,polywork.com,twitter.com/polywork,linkedin.com/company/polyworkhq,crunchbase.com/organization/polywork,London,hello@polywork.com
169,Ionic,ionic.io,twitter.com/Ionicframework,linkedin.com/company/drifty-co-,crunchbase.com/organization/ionic,Madison,hello@ionic.com
170,Localytics,localytics.com,twitter.com/Localytics,linkedin.com/company/1148792,crunchbase.com/organization/localytics,Boston,hello@localytics.com
171,Sea Machines Robotics,sea-machines.com,twitter.com/SeaMachines,linkedin.com/company/sea-machines,crunchbase.com/organization/sea-machines-robotics,Boston,info@seamachines.com
172,Overstory,20tree.ai,twitter.com/overstoryai,linkedin.com/company/overstoryai,crunchbase.com/organization/overstoryai,Amsterdam,hello@overstory.ai
173,Threat Stack,threatstack.com,twitter.com/threatstack,linkedin.com/company/threat-stack-inc,crunchbase.com/organization/threat-stack,Boston,info@threatstack.com
174,Humanising Autonomy,humanisingautonomy.com,twitter.com/HumanisingAuto,linkedin.com/company/humanising-autonomy,crunchbase.com/organization/blink-humanising-autonomy,London,hello@humanisingautonomy.com
175,Bokio,bokio.se,twitter.com/Bokioapps,linkedin.com/company/bokio,crunchbase.com/organization/bokio#section-overview,Gothenburg,hello@bokio.co.uk
176,Wagmo,wagmo.io,twitter.com/meetwagmo,linkedin.com/company/wagmo,crunchbase.com/organization/wagmo#section-overview,Boston,hello@wagmo.io
177,Ephemeral Solutions,ephemeraltattoos.com,twitter.com/ephemeraltattoo,linkedin.com/company/ephemeral,crunchbase.com/organization/ephemeral-solutions,New York,hello@ephemeralsolutions.com
178,Symbl.ai,rammer.ai,twitter.com/symbldotai,linkedin.com/company/symblai,crunchbase.com/organization/rammer-ai,San Jose,hello@symbl.ai
179,Regard,withregard.com,twitter.com/RegardApp,linkedin.com/company/regard-technologies,crunchbase.com/organization/healthtensor,Los Angeles,hello@regard.io
180,Neurala,neurala.com,twitter.com/neurala,linkedin.com/company/neurala,crunchbase.com/organization/neurala,Boston,info@neurala.com
181,Lynq,lynqme.com,twitter.com/lynq_me,linkedin.com/company/lynqme,crunchbase.com/organization/awearable-apparel,New York,hello@lynqme.com
182,Involve.AI,involvesoft.com,twitter.com/involvesoft,linkedin.com/company/involvesoft,crunchbase.com/organization/glipped,Santa Monica,hello@involve.ai
183,Parlevel,parlevelsystems.com,twitter.com/parlevelsys,linkedin.com/company/parlevel-systems,crunchbase.com/organization/parlevel-systems,San Antonio,hello@parlevelsystems.com
184,WAVE,wavebl.com,twitter.com/wavebl,linkedin.com/company/ogydocs,crunchbase.com/organization/ogydocs,Kefar Sava,hello@wave.com
185,Material Evolution,materialevolution.co.uk,twitter.com/materialevo,linkedin.com/company/materialevolution,crunchbase.com/organization/material-evolution,Belfast,hello@materialevo.com
186,Trellis Research,trellis.law,twitter.com/trellis_law,linkedin.com/company/trellis-law,crunchbase.com/organization/trellis-research,Los Angeles,hello@trellisresearch.com
187,GeoSpock,geospock.com,twitter.com/Geospock,linkedin.com/company/geospock-ltd-,crunchbase.com/organization/geospock-ltd-,Cambridge,hello@geospock.com
